Date,Time,Visitor,G,Home,G,,Att.,LOG
2023-11-18,1:00 PM,Vegas Golden Knights,3,Philadelphia Flyers,4,OT,18113,2:35
2023-11-18,4:00 PM,Edmonton Oilers,4,Tampa Bay Lightning,6,,19092,2:33
2023-11-18,10:00 PM,Seattle Kraken,4,Vancouver Canucks,3,,18857,2:28
2023-11-18,7:00 PM,Arizona Coyotes,2,Winnipeg Jets,5,,12103,2:29
2023-11-18,7:30 PM,Columbus Blue Jackets,3,Washington Capitals,4,,18573,2:37
2023-11-19,8:00 PM,St. Louis Blues,3,Anaheim Ducks,1,,15243,2:24
2023-11-19,7:00 PM,Buffalo Sabres,3,Chicago Blackhawks,2,,19027,2:21
2023-11-19,8:00 AM,Toronto Maple Leafs,4,Minnesota Wild,3,OT,13356,2:38
2023-11-19,5:30 PM,Columbus Blue Jackets,2,Philadelphia Flyers,5,,17416,2:36
2023-11-19,6:00 PM,Vegas Golden Knights,0,Pittsburgh Penguins,3,,18120,2:30
2023-11-20,9:00 PM,Los Angeles Kings,4,Arizona Coyotes,1,,4600,2:27
2023-11-20,8:00 PM,New York Rangers,3,Dallas Stars,6,,18532,2:33
2023-11-20,7:00 PM,Edmonton Oilers,3,Florida Panthers,5,,19628,2:43
2023-11-20,8:00 PM,Colorado Avalanche,3,Nashville Predators,4,,17159,2:22
2023-11-20,10:00 PM,Calgary Flames,4,Seattle Kraken,3,OT,17151,2:33
2023-11-20,7:00 PM,Boston Bruins,4,Tampa Bay Lightning,5,OT,19092,2:42
2023-11-20,10:00 PM,San Jose Sharks,1,Vancouver Canucks,3,,18718,2:26
2023-11-22,10:00 PM,Montreal Canadiens,4,Anaheim Ducks,3,,15168,2:31
2023-11-22,9:00 PM,St. Louis Blues,6,Arizona Coyotes,5,,4600,2:33
2023-11-22,7:00 PM,Edmonton Oilers,3,Carolina Hurricanes,6,,18805,2:34
2023-11-22,7:00 PM,Chicago Blackhawks,3,Columbus Blue Jackets,7,,18158,2:21
2023-11-22,10:00 PM,Vancouver Canucks,2,Colorado Avalanche,5,,18133,2:32
2023-11-22,9:30 PM,Vegas Golden Knights,2,Dallas Stars,1,OT,18532,2:31
2023-11-22,7:00 PM,New Jersey Devils,0,Detroit Red Wings,4,,19515,2:17
2023-11-22,7:00 PM,Boston Bruins,3,Florida Panthers,1,,19327,2:28
2023-11-22,9:00 PM,Calgary Flames,2,Nashville Predators,4,,17252,2:38
2023-11-22,7:30 PM,Philadelphia Flyers,2,New York Islanders,3,,17255,2:30
2023-11-22,7:00 PM,New York Rangers,1,Pittsburgh Penguins,0,,18250,2:31
2023-11-22,10:00 PM,San Jose Sharks,1,Seattle Kraken,7,,17151,2:25
2023-11-22,7:00 PM,Winnipeg Jets,3,Tampa Bay Lightning,2,OT,19092,2:24
2023-11-22,7:00 PM,Buffalo Sabres,3,Washington Capitals,4,OT,18573,2:29
2023-11-24,3:30 PM,Los Angeles Kings,5,Anaheim Ducks,2,,17205,2:33
2023-11-24,1:00 PM,Detroit Red Wings,5,Boston Bruins,2,,17850,2:35
2023-11-24,6:00 PM,Pittsburgh Penguins,2,Buffalo Sabres,3,,19070,2:29
2023-11-24,8:00 PM,Tampa Bay Lightning,8,Carolina Hurricanes,2,,18802,2:34
2023-11-24,2:00 PM,Toronto Maple Leafs,3,Chicago Blackhawks,4,OT,20238,2:32
2023-11-24,8:30 PM,Calgary Flames,7,Dallas Stars,4,,18532,2:20
2023-11-24,8:00 PM,Winnipeg Jets,3,Florida Panthers,0,,18801,2:30
2023-11-24,8:30 PM,Colorado Avalanche,3,Minnesota Wild,2,,19057,2:23
2023-11-24,3:00 PM,Columbus Blue Jackets,2,New Jersey Devils,1,,16514,2:22
2023-11-24,7:30 PM,New York Islanders,5,Ottawa Senators,3,,17693,2:30
2023-11-24,1:00 PM,New York Rangers,3,Philadelphia Flyers,1,,19032,2:31
2023-11-24,10:00 PM,Vancouver Canucks,5,Seattle Kraken,1,,17151,2:31
2023-11-24,3:30 PM,Montreal Canadiens,3,San Jose Sharks,2,SO,16897,2:35
2023-11-24,3:00 PM,Nashville Predators,8,St. Louis Blues,3,,18096,2:26
2023-11-24,3:00 PM,Edmonton Oilers,5,Washington Capitals,0,,18573,2:31
2023-11-25,10:00 PM,Calgary Flames,1,Colorado Avalanche,3,,18139,2:30
2023-11-25,4:00 PM,Montreal Canadiens,0,Los Angeles Kings,4,,18145,2:24
2023-11-25,7:00 PM,Buffalo Sabres,2,New Jersey Devils,7,,16514,2:24
2023-11-25,7:30 PM,Philadelphia Flyers,1,New York Islanders,0,SO,17255,2:41
2023-11-25,1:00 PM,Boston Bruins,4,New York Rangers,7,,18006,2:41
2023-11-25,7:00 PM,Toronto Maple Leafs,2,Pittsburgh Penguins,3,,18229,2:27
2023-11-25,10:00 PM,Vancouver Canucks,3,San Jose Sharks,4,,15538,2:36
2023-11-25,10:00 PM,Arizona Coyotes,2,Vegas Golden Knights,0,,18591,2:26
2023-11-26,5:00 PM,Columbus Blue Jackets,2,Carolina Hurricanes,3,,18700,2:22
2023-11-26,2:00 PM,St. Louis Blues,4,Chicago Blackhawks,2,,18223,2:23
2023-11-26,1:00 PM,Minnesota Wild,1,Detroit Red Wings,4,,18833,2:31
2023-11-26,9:00 PM,Anaheim Ducks,2,Edmonton Oilers,8,,17781,2:28
2023-11-26,8:00 PM,Winnipeg Jets,2,Nashville Predators,3,,17159,2:33
2023-11-27,7:00 PM,Boston Bruins,2,Columbus Blue Jackets,5,,14357,2:30
2023-11-27,9:30 PM,Vegas Golden Knights,1,Calgary Flames,2,OT,17031,2:34
2023-11-27,9:00 PM,Tampa Bay Lightning,1,Colorado Avalanche,4,,18009,2:34
2023-11-27,7:00 PM,Buffalo Sabres,5,New York Rangers,1,,18006,2:21
2023-11-27,7:00 PM,Florida Panthers,5,Ottawa Senators,0,,15594,2:44
2023-11-27,10:30 PM,Washington Capitals,1,San Jose Sharks,2,,10759,2:31
2023-11-28,9:00 PM,Tampa Bay Lightning,1,Arizona Coyotes,3,,4600,2:20
2023-11-28,8:30 PM,Seattle Kraken,3,Chicago Blackhawks,4,,17070,2:34
2023-11-28,9:00 PM,Vegas Golden Knights,4,Edmonton Oilers,5,SO,18098,2:37
2023-11-28,8:00 PM,St. Louis Blues,1,Minnesota Wild,3,,17563,2:23
2023-11-28,7:00 PM,New York Islanders,4,New Jersey Devils,5,,16091,2:26
2023-11-28,8:00 PM,Pittsburgh Penguins,2,Nashville Predators,3,OT,17159,2:27
2023-11-28,7:30 PM,Carolina Hurricanes,4,Philadelphia Flyers,1,,17885,2:26
2023-11-28,7:00 PM,Florida Panthers,1,Toronto Maple Leafs,2,SO,18508,2:46
2023-11-28,10:00 PM,Anaheim Ducks,1,Vancouver Canucks,3,,18639,2:21
2023-11-28,8:00 PM,Dallas Stars,2,Winnipeg Jets,0,,11439,2:21
2023-11-29,7:00 PM,Montreal Canadiens,4,Columbus Blue Jackets,2,,14316,2:12
2023-11-29,10:30 PM,Washington Capitals,2,Los Angeles Kings,1,,18145,2:23
2023-11-29,7:30 PM,Detroit Red Wings,2,New York Rangers,3,,18006,2:34
2023-11-30,10:00 PM,Washington Capitals,5,Anaheim Ducks,4,,14336,2:35
2023-11-30,9:00 PM,Colorado Avalanche,3,Arizona Coyotes,4,OT,4600,2:30
2023-11-30,7:00 PM,San Jose Sharks,0,Boston Bruins,3,,17850,2:32
2023-11-30,7:30 PM,New York Islanders,5,Carolina Hurricanes,4,OT,18700,2:43
2023-11-30,9:00 PM,Dallas Stars,3,Calgary Flames,4,OT,16941,2:29
2023-11-30,7:00 PM,Chicago Blackhawks,1,Detroit Red Wings,5,,19515,2:21
2023-11-30,7:00 PM,Florida Panthers,5,Montreal Canadiens,1,,21105,2:31
2023-11-30,8:00 PM,Minnesota Wild,6,Nashville Predators,1,,17159,2:38
2023-11-30,7:00 PM,New Jersey Devils,4,Philadelphia Flyers,3,OT,17748,2:40
2023-11-30,8:00 PM,Buffalo Sabres,4,St. Louis Blues,6,,18096,2:27
2023-11-30,7:00 PM,Pittsburgh Penguins,4,Tampa Bay Lightning,2,,19092,2:19
2023-11-30,7:00 PM,Seattle Kraken,3,Toronto Maple Leafs,4,SO,18366,2:38
2023-11-30,10:00 PM,Vegas Golden Knights,4,Vancouver Canucks,1,,18856,2:19
2023-11-30,8:00 PM,Edmonton Oilers,3,Winnipeg Jets,1,,13611,2:26
2023-12-01,7:00 PM,Ottawa Senators,2,Columbus Blue Jackets,4,,15552,2:27
2023-12-01,7:00 PM,San Jose Sharks,6,New Jersey Devils,3,,16528,2:30
2023-12-02,10:00 PM,Colorado Avalanche,3,Anaheim Ducks,4,SO,14712,2:45
2023-12-02,9:00 PM,St. Louis Blues,1,Arizona Coyotes,4,,4600,2:35
2023-12-02,7:00 PM,Buffalo Sabres,2,Carolina Hurricanes,6,,18797,2:27
2023-12-02,10:00 PM,Vancouver Canucks,4,Calgary Flames,3,,19079,2:29
2023-12-02,2:00 PM,Tampa Bay Lightning,1,Dallas Stars,8,,18532,2:30
2023-12-02,6:00 PM,New York Islanders,4,Florida Panthers,3,,18721,2:28
2023-12-02,7:00 PM,Detroit Red Wings,5,Montreal Canadiens,4,OT,21105,2:34
2023-12-02,4:30 PM,New York Rangers,4,Nashville Predators,3,,17341,2:34
2023-12-02,7:00 PM,Seattle Kraken,0,Ottawa Senators,2,,18159,2:28
2023-12-02,7:00 PM,Philadelphia Flyers,4,Pittsburgh Penguins,3,SO,18303,2:41
2023-12-02,7:00 PM,Boston Bruins,4,Toronto Maple Leafs,3,OT,18959,2:40
2023-12-02,10:00 PM,Washington Capitals,1,Vegas Golden Knights,4,,18140,2:25
2023-12-02,3:00 PM,Chicago Blackhawks,1,Winnipeg Jets,3,,14189,2:19
2023-12-03,7:00 PM,Columbus Blue Jackets,1,Boston Bruins,3,,17850,2:20
2023-12-03,7:00 PM,Nashville Predators,2,Buffalo Sabres,1,,14644,2:25
2023-12-03,8:00 PM,Colorado Avalanche,1,Los Angeles Kings,4,,18145,2:24
2023-12-03,2:00 PM,Chicago Blackhawks,1,Minnesota Wild,4,,19301,2:21
2023-12-03,6:00 PM,San Jose Sharks,5,New York Rangers,6,,18006,2:31
2023-12-04,9:00 PM,Washington Capitals,0,Arizona Coyotes,6,,4600,2:27
2023-12-04,7:30 PM,Seattle Kraken,2,Montreal Canadiens,4,,20915,2:22
2023-12-04,7:00 PM,Pittsburgh Penguins,1,Philadelphia Flyers,2,OT,18084,2:26
2023-12-04,7:00 PM,Dallas Stars,0,Tampa Bay Lightning,4,,19092,2:19
2023-12-04,10:00 PM,St. Louis Blues,2,Vegas Golden Knights,1,OT,17826,2:26
2023-12-04,7:30 PM,Carolina Hurricanes,1,Winnipeg Jets,2,,11468,2:22
2023-12-05,7:30 PM,Detroit Red Wings,5,Buffalo Sabres,3,,14800,2:28
2023-12-05,7:00 PM,Los Angeles Kings,4,Columbus Blue Jackets,3,OT,15088,2:28
2023-12-05,9:00 PM,Minnesota Wild,5,Calgary Flames,2,,16661,2:33
2023-12-05,8:30 PM,Nashville Predators,4,Chicago Blackhawks,3,SO,16521,2:26
2023-12-05,9:00 PM,Anaheim Ducks,2,Colorado Avalanche,3,,18021,2:28
2023-12-05,7:30 PM,San Jose Sharks,5,New York Islanders,4,OT,14244,2:36
2023-12-05,7:00 PM,New York Rangers,2,Ottawa Senators,6,,17362,2:28
2023-12-05,10:00 PM,New Jersey Devils,6,Vancouver Canucks,5,,18983,2:30
2023-12-06,9:30 PM,Carolina Hurricanes,1,Edmonton Oilers,6,,18347,2:31
2023-12-06,7:00 PM,Dallas Stars,4,Florida Panthers,5,,18376,2:32
2023-12-06,9:00 PM,Vegas Golden Knights,6,St. Louis Blues,3,,18096,2:35
2023-12-06,7:00 PM,Pittsburgh Penguins,1,Tampa Bay Lightning,3,,19092,2:26
2023-12-07,9:00 PM,Philadelphia Flyers,4,Arizona Coyotes,1,,4600,2:19
2023-12-07,7:00 PM,Buffalo Sabres,3,Boston Bruins,1,,17850,2:24
2023-12-07,9:00 PM,Carolina Hurricanes,2,Calgary Flames,3,,16983,2:34
2023-12-07,8:30 PM,Anaheim Ducks,0,Chicago Blackhawks,1,,17424,2:20
2023-12-07,9:00 PM,Winnipeg Jets,4,Colorado Avalanche,2,,18008,2:20
2023-12-07,7:00 PM,San Jose Sharks,6,Detroit Red Wings,5,OT,19515,2:29
2023-12-07,7:00 PM,Los Angeles Kings,4,Montreal Canadiens,0,,21105,2:27
2023-12-07,8:00 PM,Tampa Bay Lightning,1,Nashville Predators,5,,17159,2:28
2023-12-07,7:30 PM,Columbus Blue Jackets,3,New York Islanders,7,,13510,2:29
2023-12-07,7:00 PM,Toronto Maple Leafs,4,Ottawa Senators,3,,19309,2:22
2023-12-07,10:30 PM,New Jersey Devils,2,Seattle Kraken,1,,17151,2:23
2023-12-07,10:00 PM,Minnesota Wild,0,Vancouver Canucks,2,,18667,2:41
2023-12-07,8:00 PM,Dallas Stars,5,Washington Capitals,4,SO,15850,2:38
2023-12-08,7:00 PM,St. Louis Blues,2,Columbus Blue Jackets,5,,15713,2:31
2023-12-08,9:00 PM,Minnesota Wild,3,Edmonton Oilers,4,,18173,2:26
2023-12-08,7:00 PM,Pittsburgh Penguins,1,Florida Panthers,3,,18640,2:18
2023-12-09,1:00 PM,Arizona Coyotes,3,Boston Bruins,5,,17850,2:33
2023-12-09,7:00 PM,Montreal Canadiens,3,Buffalo Sabres,2,SO,17123,2:43
2023-12-09,4:00 PM,New Jersey Devils,4,Calgary Flames,2,,17597,2:25
2023-12-09,8:00 PM,St. Louis Blues,1,Chicago Blackhawks,3,,18892,2:24
2023-12-09,9:00 PM,Philadelphia Flyers,5,Colorado Avalanche,2,,18119,2:27
2023-12-09,4:00 PM,Vegas Golden Knights,6,Dallas Stars,1,,18532,2:17
2023-12-09,7:00 PM,Ottawa Senators,5,Detroit Red Wings,1,,19515,2:45
2023-12-09,7:30 PM,Los Angeles Kings,2,New York Islanders,3,OT,17255,2:36
2023-12-09,10:00 PM,Tampa Bay Lightning,4,Seattle Kraken,3,OT,17151,2:32
2023-12-09,7:00 PM,Nashville Predators,0,Toronto Maple Leafs,4,,18611,2:23
2023-12-09,10:00 PM,Carolina Hurricanes,3,Vancouver Canucks,4,,18586,2:31
2023-12-09,7:00 PM,New York Rangers,0,Washington Capitals,4,,18573,2:29
2023-12-10,8:00 PM,Winnipeg Jets,4,Anaheim Ducks,2,,13626,2:28
2023-12-10,1:00 PM,Florida Panthers,5,Columbus Blue Jackets,2,,16269,2:29
2023-12-10,7:00 PM,Washington Capitals,4,Chicago Blackhawks,2,,18258,2:25
2023-12-10,4:00 PM,New Jersey Devils,1,Edmonton Oilers,4,,18347,2:31
2023-12-10,7:00 PM,Nashville Predators,2,Montreal Canadiens,1,,20864,2:32
2023-12-10,7:00 PM,Los Angeles Kings,1,New York Rangers,4,,18006,2:32
2023-12-10,9:00 PM,Minnesota Wild,3,Seattle Kraken,0,,17151,2:29
2023-12-10,10:00 PM,San Jose Sharks,4,Vegas Golden Knights,5,SO,17849,2:40
2023-12-11,7:00 PM,Arizona Coyotes,2,Buffalo Sabres,5,,14083,2:24
2023-12-11,9:30 PM,Calgary Flames,5,Colorado Avalanche,6,,17967,2:37
2023-12-11,8:00 PM,Detroit Red Wings,3,Dallas Stars,6,,18532,2:28
2023-12-11,7:00 PM,Toronto Maple Leafs,3,New York Islanders,4,OT,17255,2:28
2023-12-12,10:00 PM,Chicago Blackhawks,1,Edmonton Oilers,4,,18347,2:23
2023-12-12,8:00 PM,Philadelphia Flyers,2,Nashville Predators,3,OT,17159,2:27
2023-12-12,7:00 PM,Toronto Maple Leafs,7,New York Rangers,3,,18006,2:26
2023-12-12,7:00 PM,Carolina Hurricanes,4,Ottawa Senators,1,,16877,2:27
2023-12-12,7:00 PM,Arizona Coyotes,2,Pittsburgh Penguins,4,,17068,2:29
2023-12-12,10:00 PM,Florida Panthers,0,Seattle Kraken,4,,17151,2:28
2023-12-12,10:30 PM,Winnipeg Jets,1,San Jose Sharks,2,,13142,2:27
2023-12-12,7:30 PM,Detroit Red Wings,6,St. Louis Blues,4,,18096,2:36
2023-12-12,10:00 PM,Tampa Bay Lightning,1,Vancouver Canucks,4,,18771,2:22
2023-12-12,10:00 PM,Calgary Flames,4,Vegas Golden Knights,5,OT,17814,2:30
2023-12-13,10:00 PM,Buffalo Sabres,1,Colorado Avalanche,5,,18034,2:32
2023-12-13,10:30 PM,Winnipeg Jets,5,Los Angeles Kings,2,,18145,2:23
2023-12-13,7:00 PM,Pittsburgh Penguins,4,Montreal Canadiens,3,SO,21105,2:50
2023-12-13,7:30 PM,Boston Bruins,1,New Jersey Devils,2,OT,16514,2:33
2023-12-13,7:30 PM,Anaheim Ducks,3,New York Islanders,4,,14207,2:34
2023-12-14,7:30 PM,Carolina Hurricanes,2,Detroit Red Wings,1,,19515,2:24
2023-12-14,9:00 PM,Tampa Bay Lightning,7,Edmonton Oilers,4,,18060,2:35
2023-12-14,8:00 PM,Calgary Flames,2,Minnesota Wild,3,SO,18167,2:44
2023-12-14,7:00 PM,Washington Capitals,3,Philadelphia Flyers,4,SO,18557,2:43
2023-12-14,10:00 PM,Chicago Blackhawks,1,Seattle Kraken,7,,17151,2:19
2023-12-14,8:00 PM,Ottawa Senators,2,St. Louis Blues,4,,18096,2:24
2023-12-14,7:00 PM,Columbus Blue Jackets,6,Toronto Maple Leafs,5,OT,18338,2:39
2023-12-14,10:00 PM,Florida Panthers,0,Vancouver Canucks,4,,18873,2:19
2023-12-15,9:00 PM,San Jose Sharks,0,Arizona Coyotes,1,,4600,2:33
2023-12-15,7:30 PM,Nashville Predators,6,Carolina Hurricanes,5,OT,18770,2:32
2023-12-15,8:00 PM,Ottawa Senators,4,Dallas Stars,5,,18532,2:32
2023-12-15,7:30 PM,Boston Bruins,5,New York Islanders,4,SO,17255,2:54
2023-12-15,7:00 PM,Anaheim Ducks,1,New York Rangers,5,,18006,2:34
2023-12-15,10:00 PM,Buffalo Sabres,5,Vegas Golden Knights,2,,18008,2:27
2023-12-16,9:00 PM,Buffalo Sabres,0,Arizona Coyotes,2,,4600,2:11
2023-12-16,7:00 PM,New York Rangers,2,Boston Bruins,1,OT,17850,2:35
2023-12-16,7:00 PM,New Jersey Devils,6,Columbus Blue Jackets,3,,18172,2:24
2023-12-16,10:00 PM,Tampa Bay Lightning,2,Calgary Flames,4,,16801,2:27
2023-12-16,10:00 PM,Florida Panthers,5,Edmonton Oilers,1,,18347,2:34
2023-12-16,2:00 PM,Vancouver Canucks,1,Minnesota Wild,2,SO,18519,2:39
2023-12-16,7:00 PM,New York Islanders,3,Montreal Canadiens,5,,21105,2:23
2023-12-16,8:00 PM,Washington Capitals,1,Nashville Predators,3,,17267,2:20
2023-12-16,7:00 PM,Detroit Red Wings,0,Philadelphia Flyers,1,,18341,2:31
2023-12-16,10:00 PM,Los Angeles Kings,3,Seattle Kraken,2,SO,17151,2:42
2023-12-16,8:00 PM,Dallas Stars,3,St. Louis Blues,4,OT,18096,2:32
2023-12-16,7:00 PM,Pittsburgh Penguins,0,Toronto Maple Leafs,7,,18921,2:30
2023-12-16,7:00 PM,Colorado Avalanche,2,Winnipeg Jets,6,,13515,2:20
2023-12-17,6:00 PM,Washington Capitals,2,Carolina Hurricanes,1,SO,18700,2:44
2023-12-17,3:00 PM,Vancouver Canucks,4,Chicago Blackhawks,3,,19302,2:19
2023-12-17,8:00 PM,San Jose Sharks,2,Colorado Avalanche,6,,18093,2:29
2023-12-17,7:00 PM,Anaheim Ducks,5,New Jersey Devils,1,,16514,2:25
2023-12-17,8:00 PM,Ottawa Senators,3,Vegas Golden Knights,6,,17892,2:30
2023-12-18,9:30 PM,Florida Panthers,1,Calgary Flames,3,,16813,2:27
2023-12-18,8:00 PM,Seattle Kraken,3,Dallas Stars,4,OT,18532,2:32
2023-12-18,7:00 PM,Anaheim Ducks,4,Detroit Red Wings,3,,19515,2:33
2023-12-18,7:00 PM,Minnesota Wild,3,Pittsburgh Penguins,4,,18200,2:32
2023-12-18,7:30 PM,Montreal Canadiens,3,Winnipeg Jets,2,OT,13363,2:29
2023-12-19,9:00 PM,Ottawa Senators,3,Arizona Coyotes,4,,4600,2:30
2023-12-19,7:00 PM,Minnesota Wild,4,Boston Bruins,3,OT,17850,2:36
2023-12-19,7:00 PM,Columbus Blue Jackets,9,Buffalo Sabres,4,,14888,2:25
2023-12-19,7:00 PM,Vegas Golden Knights,3,Carolina Hurricanes,6,,18848,2:32
2023-12-19,8:30 PM,Colorado Avalanche,2,Chicago Blackhawks,3,,19719,2:24
2023-12-19,7:00 PM,Philadelphia Flyers,3,New Jersey Devils,2,OT,16514,2:26
2023-12-19,8:00 PM,Vancouver Canucks,5,Nashville Predators,2,,17159,2:22
2023-12-19,7:30 PM,Edmonton Oilers,1,New York Islanders,3,,16523,2:17
2023-12-19,10:30 PM,Los Angeles Kings,4,San Jose Sharks,1,,11593,2:23
2023-12-19,7:00 PM,St. Louis Blues,1,Tampa Bay Lightning,6,,19092,2:22
2023-12-19,7:00 PM,New York Rangers,5,Toronto Maple Leafs,2,,19264,2:22
2023-12-20,10:00 PM,Seattle Kraken,2,Los Angeles Kings,1,,18145,2:28
2023-12-20,7:30 PM,Detroit Red Wings,2,Winnipeg Jets,5,,12571,2:26
2023-12-20,7:30 PM,New York Islanders,2,Washington Capitals,3,OT,18573,2:24
2023-12-21,10:00 PM,Calgary Flames,3,Anaheim Ducks,0,,16102,2:25
2023-12-21,7:00 PM,Toronto Maple Leafs,3,Buffalo Sabres,9,,19070,2:22
2023-12-21,7:00 PM,Washington Capitals,3,Columbus Blue Jackets,2,OT,18172,2:32
2023-12-21,9:00 PM,Ottawa Senators,4,Colorado Avalanche,6,,18107,2:39
2023-12-21,8:00 PM,Vancouver Canucks,3,Dallas Stars,4,OT,18532,2:32
2023-12-21,7:00 PM,St. Louis Blues,4,Florida Panthers,1,,18753,2:29
2023-12-21,8:00 PM,Montreal Canadiens,3,Minnesota Wild,4,OT,18387,2:38
2023-12-21,7:30 PM,Edmonton Oilers,6,New Jersey Devils,3,,16514,2:26
2023-12-21,7:00 PM,Nashville Predators,4,Philadelphia Flyers,2,,19313,2:33
2023-12-21,7:00 PM,Carolina Hurricanes,1,Pittsburgh Penguins,2,SO,18267,2:37
2023-12-21,10:30 PM,Arizona Coyotes,5,San Jose Sharks,2,,17435,2:26
2023-12-21,7:00 PM,Vegas Golden Knights,4,Tampa Bay Lightning,5,,19092,2:35
2023-12-22,8:30 PM,Montreal Canadiens,5,Chicago Blackhawks,2,,20340,2:25
2023-12-22,7:00 PM,Philadelphia Flyers,6,Detroit Red Wings,7,SO,19515,2:50
2023-12-22,7:30 PM,Edmonton Oilers,4,New York Rangers,3,,18006,2:29
2023-12-22,8:00 PM,Boston Bruins,1,Winnipeg Jets,5,,14405,2:34
2023-12-23,8:00 PM,Seattle Kraken,3,Anaheim Ducks,2,,14608,2:28
2023-12-23,7:30 PM,New York Islanders,5,Carolina Hurricanes,4,,18921,2:31
2023-12-23,7:00 PM,Toronto Maple Leafs,4,Columbus Blue Jackets,1,,17806,2:24
2023-12-23,9:00 PM,Arizona Coyotes,1,Colorado Avalanche,4,,18117,2:21
2023-12-23,3:00 PM,Vegas Golden Knights,2,Florida Panthers,4,,19364,2:37
2023-12-23,10:00 PM,Calgary Flames,3,Los Angeles Kings,5,,18145,2:35
2023-12-23,7:00 PM,Boston Bruins,2,Minnesota Wild,3,,19183,2:33
2023-12-23,7:00 PM,Detroit Red Wings,2,New Jersey Devils,3,,16514,2:31
2023-12-23,2:00 PM,Dallas Stars,3,Nashville Predators,2,,17159,2:28
2023-12-23,7:30 PM,Buffalo Sabres,3,New York Rangers,4,OT,18006,2:36
